Year,Chamber,Geography,Democrat,Republican,WAR,Sortable
2024,House,GA-02,Sanford Bishop,Wayne Johnson,D+3,-3.0
2024,House,GA-03,Maura Keller,Brian Jack,D+0.3,-0.3
2024,House,GA-04,Hank Johnson,Eugene Yu,R+4,4.0
2024,House,GA-05,Nikema Williams,John Salvesen,R+1.1,1.1
2024,House,GA-06,Lucy McBath,Jeff Criswell,R+2.4,2.4
2024,House,GA-07,Bob Christian,Rich McCormick,R+1.4,1.4
2024,House,GA-08,Darrius Butler,Austin Scott,R+1.3,1.3
2024,House,GA-09,Tambrei Cash,Andrew Clyde,D+0.5,-0.5
2024,House,GA-10,Lexy Doherty,Mike Collins,D+0.9,-0.9
2024,House,GA-11,Kate Stamper,Barry Loudermilk,R+6,6.0
2024,House,GA-12,Liz Johnson,Rick Allen,R+2.7,2.7
2024,House,GA-13,David Scott,Jonathan Chavez,D+0.6,-0.6
2024,House,GA-14,Shawn Harris,Marjorie Taylor Greene,D+12.5,-12.5
2024,House,HI-01,Ed Case,Patrick Largey,D+17.1,-17.1
2024,House,HI-02,Jill Tokuda,Steve Bond,D+13,-13.0
2024,House,ID-01,Kaylee Peterson,Russ Fulcher,D+0.5,-0.5
2024,House,ID-02,David Roth,Mike Simpson,R+1.2,1.2
2024,House,IL-01,Jonathan Jackson,Marcus Lewis,R+3.8,3.8
2024,House,IL-02,Robin Kelly,Ashley Ramos,R+2,2.0
2024,House,IL-03,Delia Ramirez,John Booras,R+0.2,0.2
2024,House,IL-04,Chuy Garcia,Lupe Castillo,D+7.4,-7.4
2024,House,IL-05,Mike Quigley,Tom Hanson,D+0.7,-0.7
2024,House,IL-06,Sean Casten,Niki Conforti,R+0.4,0.4
2024,House,IL-07,Danny Davis,Chad Koppie,R+1.6,1.6
2024,House,IL-08,Raja Krishnamoorthi,Mark Rice,D+3.1,-3.1
2024,House,IL-09,Jan Schakowsky,Seth Cohen,R+1.8,1.8
2024,House,IL-10,Brad Schneider,Jim Carris,R+4,4.0
2024,House,IL-11,Bill Foster,Jerry Evans,R+3.1,3.1
2024,House,IL-12,Brian Roberts,Mike Bost,R+0.1,0.1
2024,House,IL-13,Nikki Budzinski,Joshua Loyd,D+3.3,-3.3
2024,House,IL-14,Lauren Underwood,Jim Marter,D+1.3,-1.3
2024,House,IL-17,Eric Sorensen,Joe McGraw,D+1.1,-1.1
2024,House,IN-01,Frank Mrvan,Randy Niemeyer,D+4.6,-4.6
2024,House,IN-02,Lori Camp,Rudy Yakym,D+1.2,-1.2
2024,House,IN-03,Kiley Adolph,Marlin Stutzman,R+3.5,3.5
2024,House,IN-04,Derrick Holder,Jim Baird,R+1.8,1.8
2024,House,IN-05,Deborah Pickett,Victoria Spartz,R+0.9,0.9
2024,House,IN-06,Cindy Wirth,Jefferson Shreve,D+1.3,-1.3
2024,House,IN-07,Andre Carson,John Schmitz,R+2.3,2.3
2024,House,IN-08,Erik Hurt,Mark Messmer,R+4,4.0
2024,House,IN-09,Tim Peck,Erin Houchin,D+0.9,-0.9
2024,House,IA-01,Christina Bohannan,Mariannette Miller-Meeks,D+11.3,-11.3
2024,House,IA-02,Sarah Corkery,Ashley Hinson,R+2.8,2.8
2024,House,IA-03,Lanon Baccam,Zach Nunn,D+4.6,-4.6
2024,House,IA-04,Ryan Melton,Randy Feenstra,D+0.2,-0.2
2024,House,KS-01,Paul Buskirk,Tracey Mann,R+2.9,2.9
2024,House,KS-02,Nancy Boyda,Derek Schmidt,D+0.4,-0.4
2024,House,KS-03,Sharice Davids,Prasanth Reddy,D+6.7,-6.7
2024,House,KS-04,Esau Freeman,Ron Estes,R+1.3,1.3
2024,House,KY-01,Erin Marshall,James Comer,R+0.2,0.2
2024,House,KY-02,Hank Linderman,Brett Guthrie,R+2.1,2.1
2024,House,KY-03,Morgan McGarvey,Mike Craven,D+1.7,-1.7
2024,House,KY-06,Randy Cravens,Andy Barr,R+5.5,5.5
2024,House,LA-01,Mel Manuel,Steve Scalise,R+4.8,4.8
2024,House,LA-02,Troy Carter,R,D+7.7,-7.7
2024,House,LA-03,D,Clay Higgins,R+0.2,0.2
2024,House,LA-05,D,Julia Letlow,R+5.8,5.8
2024,House,LA-06,Cleo Fields,Elbert Guillory,D+10.5,-10.5
2024,House,ME-01,Chellie Pingree,Ronald Russell,D+0,0.0
2024,House,ME-02,Jared Golden,Austin Theriault,D+5.9,-5.9
2024,House,MD-01,Blane Miller,Andy Harris,R+1.6,1.6
2024,House,MD-02,Johnny Olszewski,Kimberly Klacik,D+1.4,-1.4
2024,House,MD-03,Sarah Elfreth,Robert Steinberger,R+1.3,1.3
2024,House,MD-04,Glenn Ivey,George McDermott,R+0.8,0.8
2024,House,MD-05,Steny Hoyer,Michelle Talkington,R+1.2,1.2
2024,House,MD-06,April McClain Delaney,Neil Parrott,D+0.8,-0.8
2024,House,MD-07,Kweisi Mfume,Scott Collier,D+2.8,-2.8
2024,House,MD-08,Jamie Raskin,Cheryl Riley,R+3,3.0
2024,House,MA-08,Stephen Lynch,Robert Burke,D+11,-11.0
2024,House,MA-09,Bill Keating,Dan Sullivan,R+1.4,1.4
2024,House,MI-01,Callie Barr,Jack Bergman,D+2.6,-2.6
2024,House,MI-02,Michael Lynch,John Moolenaar,R+1.8,1.8
2024,House,MI-03,Hillary Scholten,Paul Hudson,D+0.4,-0.4
2024,House,MI-04,Jessica Swartz,Bill Huizenga,R+2,2.0
2024,House,MI-05,Libbi Urban,Tim Walberg,R+3.9,3.9
2024,House,MI-06,Debbie Dingell,Heather Smiley,D+2,-2.0
2024,House,MI-07,Curtis Hertel,Tom Barrett,R+1.4,1.4
2024,House,MI-08,Kristen McDonald Rivet,Paul Junge,D+8.6,-8.6
2024,House,MI-09,Clinton St. Mosley,Lisa McClain,R+3.5,3.5
2024,House,MI-10,Carl Marlinga,John James,D+2.9,-2.9
2024,House,MI-11,Haley Stevens,Nick Somberg,D+0.3,-0.3
2024,House,MI-12,Rashida Tlaib,James Hooper,D+1.7,-1.7
2024,House,MI-13,Shri Thanedar,Martell Bivings,D+0.4,-0.4
2024,House,MN-01,Rachel Bohman,Brad Finstad,R+1.1,1.1
2024,House,MN-02,Angie Craig,Joe Teirab,D+6.7,-6.7
2024,House,MN-03,Kelly Morrison,Tad Jude,R+2.4,2.4
2024,House,MN-04,Betty McCollum,May Lor Xiong,R+3,3.0
2024,House,MN-05,Ilhan Omar,Dalia Al-Aqidi,R+13.1,13.1
2024,House,MN-06,Jeanne Hendricks,Tom Emmer,D+0.1,-0.1
2024,House,MN-07,AJ Peters,Michelle Fischbach,R+1.3,1.3
2024,House,MN-08,Jennifer Schultz,Pete Stauber,D+0.9,-0.9
2024,House,MS-01,Dianne Black,Trent Kelly,D+0.1,-0.1
2024,House,MS-02,Bennie Thompson,Ron Eller,D+1,-1.0
2024,House,MS-04,Craig Raybon,Mike Ezell,R+2.2,2.2
2024,House,MO-01,Wesley Bell,Andrew Jones,D+4.1,-4.1
2024,House,MO-02,Ray Hartmann,Ann Wagner,D+2,-2.0
2024,House,MO-03,Bethany Mann,Bob Onder,D+2.4,-2.4
2024,House,MO-04,Jeanette Cass,Mark Alford,R+0.9,0.9
2024,House,MO-05,Emanuel Cleaver,Sean Smith,R+0.7,0.7
2024,House,MO-06,Pam May,Sam Graves,R+1.8,1.8
2024,House,MO-07,Missi Hesketh,Eric Burlison,R+0.2,0.2
2024,House,MO-08,Randi McCallian,Jason Smith,D+1.5,-1.5
2024,House,MT-01,Monica Tranel,Ryan Zinke,D+7.1,-7.1
2024,House,MT-02,John Driscoll,Troy Downing,D+0,0.0
2024,House,NE-01,Carol Blood,Mike Flood,R+2.2,2.2
2024,House,NE-02,Tony Vargas,Don Bacon,R+1.6,1.6
2024,House,NE-03,Daniel Ebers,Adrian Smith,R+2.6,2.6
2024,House,NV-01,Dina Titus,Mark Robertson,D+2.4,-2.4
2024,House,NV-03,Susie Lee,Drew Johnson,D+0.3,-0.3
2024,House,NV-04,Steven Horsford,John Lee,D+3.2,-3.2
2024,House,NH-01,Chris Pappas,Russell Prescott,D+3.2,-3.2
2024,House,NH-02,Maggie Goodlander,Lily Williams,D+1.7,-1.7
2024,House,NJ-01,Donald Norcross,Teddy Liddell,R+3.9,3.9
2024,House,NJ-02,Joe Salerno,Jeff Van Drew,R+1.6,1.6
2024,House,NJ-03,Herb Conaway,Rajesh Mohan,D+1.4,-1.4
2024,House,NJ-04,Matthew Jenkins,Chris Smith,R+2.9,2.9
2024,House,NJ-05,Josh Gottheimer,Mary Jo Guinchard,D+5.1,-5.1
2024,House,NJ-06,Frank Pallone,Scott Fegler,D+4.1,-4.1
2024,House,NJ-07,Sue Altman,Tom Kean,D+0,0.0
2024,House,NJ-08,Rob Menendez Jr.,Anthony Valdes,R+6.3,6.3
2024,House,NJ-09,Nellie Pou,Billy Prempeh,D+2.4,-2.4
2024,House,NJ-10,LaMonica McIver,Carmen Bucco,R+1.7,1.7
2024,House,NJ-11,Mikie Sherrill,Joseph Belnome,D+2.3,-2.3
2024,House,NJ-12,Bonnie Watson Coleman,Darius Mayfield,R+2.6,2.6
2024,House,NM-01,Melanie Stansbury,Steve Jones,R+1.1,1.1
2024,House,NM-02,Gabe Vasquez,Yvette Herrell,D+3.1,-3.1
2024,House,NM-03,Teresa Leger Fernandez,Sharon Clahchischilliage,D+4.5,-4.5
2024,House,NY-01,John Avlon,Nick LaLota,D+2.5,-2.5
2024,House,NY-02,Rob Lubin,Andrew Garbarino,R+3.7,3.7
2024,House,NY-03,Tom Suozzi,Michael LiPetri,D+1.9,-1.9
2024,House,NY-04,Laura Gillen,Anthony D'Esposito,D+2.5,-2.5
2024,House,NY-05,Gregory Meeks,Paul King,R+5.1,5.1
2024,House,NY-06,Grace Meng,Thomas Zmich,D+8.4,-8.4
2024,House,NY-07,Nydia Velazquez,William Kregler,D+5.9,-5.9
2024,House,NY-08,Hakeem Jeffries,John Delaney,D+0.8,-0.8
2024,House,NY-09,Yvette Clarke,Menachem Raitport,D+4.1,-4.1
2024,House,NY-10,Dan Goldman,Alex Dodenhoff,D+4,-4.0
2024,House,NY-11,Andrea Morse,Nicole Malliotakis,R+2.6,2.6
2024,House,NY-12,Jerrold Nadler,Michael Zumbluskas,R+4.6,4.6
2024,House,NY-13,Adriano Espaillat,Ruben Vargas,D+1.4,-1.4
2024,House,NY-14,Alexandria Ocasio-Cortez,Tina Forte,R+1.5,1.5
2024,House,NY-15,Ritchie Torres,Gonzalo Duran,R+1.2,1.2
2024,House,NY-16,George Latimer,Miram Levitt Flisser,D+7.6,-7.6
2024,House,NY-17,Mondaire Jones,Mike Lawler,R+3.8,3.8
2024,House,NY-18,Pat Ryan,Alison Esposito,D+8.1,-8.1
2024,House,NY-19,Josh Riley,Marc Molinaro,D+4.1,-4.1
2024,House,NY-20,Paul Tonko,Kevin Waltz,D+4.6,-4.6
2024,House,NY-21,Paula Collins,Elise Stefanik,R+0.2,0.2
2024,House,NY-22,John Mannion,Brandon Williams,D+5.1,-5.1
2024,House,NY-23,Thomas Carle,Nick Langworthy,R+6.7,6.7
2024,House,NY-24,David Wagenhauser,Claudia Tenney,R+5,5.0
2024,House,NY-25,Joe Morelle,Gregg Sadwick,D+1.5,-1.5
2024,House,NY-26,Tim Kennedy,Anthony Marecki,D+6.7,-6.7
2024,House,NC-01,Don Davis,Laurie Buckhout,D+2.6,-2.6
2024,House,NC-02,Deborah Ross,Alan Swain,R+0.5,0.5
2024,House,NC-04,Valerie Foushee,Eric Blankenburg,D+1.2,-1.2
2024,House,NC-05,Chuck Hubbard,Virginia Foxx,D+4.1,-4.1
2024,House,NC-07,Marlando Pridgen,David Rouzer,D+2.6,-2.6
2024,House,NC-08,Justin Dues,Mark Harris,D+2.7,-2.7
2024,House,NC-09,Nigel Bristow,Richard Hudson,D+2.3,-2.3
2024,House,NC-10,Ralph Scott Jr.,Pat Harrigan,D+0.9,-0.9
2024,House,NC-11,Caleb Rudow,Chuck Edwards,D+1.5,-1.5
2024,House,NC-12,Alma Adams,Addul Ali,R+0.3,0.3
2024,House,NC-13,Frank Pierce,Brad Knott,D+3.5,-3.5
2024,House,NC-14,Pam Genant,Tim Moore,D+3,-3.0
2024,House,ND-AL,Trygve Hammer,Julie Fedorchak,R+1.2,1.2
2024,House,OH-01,Greg Landsman,Orlando Sonza,D+1.7,-1.7
2024,House,OH-02,Samantha Meadows,David Taylor,R+0.8,0.8
2024,House,OH-03,Joyce Beatty,Michael Young,R+1.6,1.6
2024,House,OH-04,Tamie Wilson,Jim Jordan,D+3.9,-3.9
2024,House,OH-05,Keith Mundy,Bob Latta,R+1.5,1.5
2024,House,OH-06,Michael Kripchak,Michael Rulli,D+1.5,-1.5
2024,House,OH-07,Matt Diemer,Max Miller,R+0.6,0.6
2024,House,OH-08,Vanessa Enoch,Warren Davidson,D+2.3,-2.3
2024,House,OH-09,Marcy Kaptur,Derrick Merrin,D+4.8,-4.8
2024,House,OH-10,Amy Cox,Mike Turner,R+8.7,8.7
2024,House,OH-11,Shontel Brown,Alan Rapoport,D+4.1,-4.1
2024,House,OH-12,Jerrad Christian,Troy Balderson,R+0.9,0.9
2024,House,OH-13,Emilia Sykes,Kevin Coughlin,D+0.6,-0.6
2024,House,OH-14,Brian Kenderes,David Joyce,R+4.3,4.3
2024,House,OH-15,Adam Miller,Mike Carey,D+1.3,-1.3
2024,House,OK-01,Dennis Baker,Kevin Hern,D+0.5,-0.5
2024,House,OK-02,Brandon Wade,Josh Brecheen,D+4.9,-4.9
2024,House,OK-04,Mary Brannon,Tom Cole,R+0.4,0.4
2024,House,OK-05,Madison Horn,Stephanie Bice,D+2.6,-2.6
2024,House,OR-01,Suzanne Bonamici,Bob Todd,D+2.5,-2.5
2024,House,OR-02,Dan Ruby,Cliff Bentz,R+2.1,2.1
2024,House,OR-03,Maxine Dexter,Joanna Harbour,D+0,0.0
2024,House,OR-04,Val Hoyle,Monique DeSpain,R+6.3,6.3
2024,House,OR-05,Janelle Bynum,Lori Chavez-DeRemer,R+0.9,0.9
2024,House,OR-06,Andrea Salinas,Mike Erickson,R+6.9,6.9
2024,House,PA-01,Ashley Ehasz,Brian Fitzpatrick,R+8.8,8.8
2024,House,PA-02,Brendan Boyle,Haroon Bashir,D+3.9,-3.9
2024,House,PA-04,Madeleine Dean,David Winkler,D+0.3,-0.3
2024,House,PA-05,Mary Gay Scanlon,Alfe Goodwin,D+0.5,-0.5
2024,House,PA-06,Chrissy Houlahan,Neil Young Jr.,R+1.5,1.5
2024,House,PA-07,Susan Wild,Ryan Mackenzie,R+0.1,0.1
2024,House,PA-08,Matt Cartwright,Rob Bresnahan,D+2.9,-2.9
2024,House,PA-09,Amanda Waldman,Dan Meuser,D+0.2,-0.2
2024,House,PA-10,Janelle Stelson,Scott Perry,D+8.8,-8.8
2024,House,PA-11,Jim Atkinson,Lloyd Smucker,D+1.1,-1.1
2024,House,PA-12,Summer Lee,James Hayes,R+7.8,7.8
2024,House,PA-13,Beth Farnham,John Joyce,R+0.1,0.1
2024,House,PA-14,Christopher Dziados,Guy Reschenthaler,D+4,-4.0
2024,House,PA-15,Zacheray Womer,Glenn Thompson,R+1.4,1.4
2024,House,PA-16,Preston Nouri,Mike Kelly,R+0.7,0.7
2024,House,PA-17,Chris Deluzio,Rob Mercuri,D+1.8,-1.8
2024,House,RI-01,Gabe Amo,Allen Waters,D+6.3,-6.3
2024,House,RI-02,Seth Magaziner,Steve Corvi,D+5.8,-5.8
2024,House,SC-01,Michael Moore,Nancy Mace,D+1.1,-1.1
2024,House,SC-02,David Robinson,Joe Wilson,R+1.1,1.1
2024,House,SC-03,Byron Best,Sheri Biggs,R+4.7,4.7
2024,House,SC-04,Kathryn Harvey,William Timmons,D+4.4,-4.4
2024,House,SC-05,Evangeline Hundley,Ralph Norman,R+0.4,0.4
2024,House,SC-06,Jim Clyburn,Duke Buckner,R+3,3.0
2024,House,SC-07,Mal Hyman,Russell Fry,R+1.4,1.4
2024,House,SD-AL,Sheryl Johnson,Dusty Johnson,R+9.9,9.9
2024,House,TN-01,Kevin Jenkins,Diana Harshbarger,D+0.5,-0.5
2024,House,TN-02,Jane George,Tim Burchett,R+1.5,1.5
2024,House,TN-03,Jack Allen,Chuck Fleischmann,D+0.6,-0.6
2024,House,TN-04,Victoria Broderick,Scott DesJarlais,D+1,-1.0
2024,House,TN-05,Maryam Abolfazli,Andy Ogles,D+3.9,-3.9
2024,House,TN-06,Lore Bergman,John Rose,D+1.5,-1.5
2024,House,TN-07,Megan Barry,Mark Green,D+3.6,-3.6
2024,House,TN-08,Sarah Freeman,David Kustoff,R+1.8,1.8
2024,House,TN-09,Steve Cohen,Charlotte Bergmann,D+1.1,-1.1
2024,House,TX-02,Peter Filler,Dan Crenshaw,R+0.7,0.7
2024,House,TX-03,Sandeep Srivastava,Keith Self,R+1,1.0
2024,House,TX-04,Simon Cardell,Pat Fallon,R+0.5,0.5
2024,House,TX-05,Ruth Torres,Lance Gooden,D+2.3,-2.3
2024,House,TX-06,John Love III,Jake Ellzey,D+2.1,-2.1
2024,House,TX-07,Lizzie Fletcher,Caroline Kane,R+2.5,2.5
2024,House,TX-08,Laura Jones,Morgan Luttrell,D+2,-2.0
2024,House,TX-10,Theresa Boisseau,Michael McCaul,R+0.8,0.8
2024,House,TX-12,Trey Hunt,Craig Goldman,R+2.2,2.2
2024,House,TX-14,Rhonda Hart,Randy Weber,D+0.5,-0.5
2024,House,TX-15,Michelle Vallejo,Monica De La Cruz,D+5.6,-5.6
2024,House,TX-16,Veronica Escobar,Irene Armendariz-Jackson,R+4,4.0
2024,House,TX-17,Mark Lorenzen,Pete Sessions,R+0.7,0.7
2024,House,TX-18,Sylvester Turner,Lana Centonze,R+1.4,1.4
2024,House,TX-21,Kristin Hook,Chip Roy,D+2.6,-2.6
2024,House,TX-22,Marquette Greene-Scott,Troy Nehls,R+0.2,0.2
2024,House,TX-23,Santos Limon,Tony Gonzales,R+4.2,4.2
2024,House,TX-24,Sam Eppler,Beth Van Duyne,D+0,0.0
2024,House,TX-26,Ernest Lineberger III,Brandon Gill,R+1.8,1.8
2024,House,TX-27,Tanya Lloyd,Michael Cloud,D+0.8,-0.8
2024,House,TX-28,Henry Cuellar,Jay Furman,D+8.3,-8.3
2024,House,TX-29,Sylvia Garcia,Alan Garza,D+4.7,-4.7
2024,House,TX-31,Stuart Whitlow,John Carter,R+1.2,1.2
2024,House,TX-32,Julie Johnson,Darrell Day,R+1.7,1.7
2024,House,TX-33,Marc Veasey,Patrick Gillespie,R+4.2,4.2
2024,House,TX-34,Vicente Gonzalez,Mayra Flores,D+1.3,-1.3
2024,House,TX-35,Greg Casar,Steven Wright,R+3.9,3.9
2024,House,TX-36,Dayna Steele,Brian Babin,D+1.8,-1.8
2024,House,TX-37,Lloyd Doggett,Jenny Garcia Sharon,D+0.7,-0.7
2024,House,TX-38,Melissa McDonough,Wesley Hunt,D+1.4,-1.4
2024,House,UT-01,Bill Campbell,Blake Moore,R+5.4,5.4
2024,House,UT-02,Nathaniel Woodward,Celeste Maloy,D+0.4,-0.4
2024,House,UT-03,Glenn Wright,Mike Kennedy,R+10.5,10.5
2024,House,UT-04,Katrina Fallick-Wang,Burgess Owens,R+2.9,2.9
2024,House,VT-AL,Becca Balint,Mark Coester,D+0.3,-0.3
2024,House,VA-01,Leslie Mehta,Rob Wittman,R+0.7,0.7
2024,House,VA-02,Missy Cotter Smasal,Jen Kiggans,D+1.1,-1.1
2024,House,VA-03,Bobby Scott,John Sitka,D+3.2,-3.2
2024,House,VA-04,Jennifer McClellan,Bill Moher,R+0.9,0.9
2024,House,VA-05,Gloria Witt,John McGuire,R+1.8,1.8
2024,House,VA-06,Ken Mitchell,Ben Cline,R+1.1,1.1
2024,House,VA-07,Eugene Vindman,Derrick Anderson,D+1.2,-1.2
